愛飲	あいいん	"애음, 즐겨 마심"	
崩す	くずす	"무너뜨리다, (큰 돈을) 헐다"	
崩れる	くずれる	"무너지다, 허물어지다"	
砕く	くだく	"깨뜨리다, 부수다"	
砕ける	くだける	"부서지다, 깨지다"	
下る	くだる	"내려가다, 내려오다"	
配る	くばる	"나누어 주다, 배포하다"	
汲む	くむ	"푸다, 퍼 올리다"	
酌む	くむ	(술 따위를) 따라서 마시다	
狂う	くるう	"미치다, 이상해지다"	
苦しめる	くるしめる	괴롭히다	
加える	くわえる	"가하다, 더하다, 보태다"	
加わる	くわわる	"가해지다, 더해지다, 늘다"	
蹴る	ける	"발로 차다, 걷어차다"	
被る	こうむる	"받다, 입다"	
超える	こえる	"(기준을) 넘다, 초과하다"	
焦がす	こがす	"눌리다, 태우다"	
こぐ		(노로 배를) 젓다	
凍える	こごえる	"얼다, 추위로 곱다"	
こしらえる		"마련하다, 만들다"	
こじらせる		"어렵게 하다, 악화시키다"	
こじれる		"복잡해지다, 악화되다"	
越す	こす	"넘다, 건너다, 이사하다"	
超す	こす	"넘다, 초과하다"	
こする		"문지르다, 비비다"	
好む	このむ	"좋아하다, 즐기다"	
こらえる		"참다, 견디다"	
転がす	ころがす	"굴리다, 쓰러뜨리다"	
転がる	ころがる	"구르다, 넘어지다"	
裂く	さく	"찢다, 쪼개다"	
探る	さぐる	"뒤지다, 더듬어 찾다"	
避ける	さける	"피하다, 꺼리다"	
下げる	さげる	"내리다, 숙이다"	
支える	ささえる	"떠받치다, 지탱하다"	
刺さる	ささる	"박히다, 찔리다"	
指す	さす	"가리키다, 지목하다"	
挿す	さす	"꽂다, 끼우다"	
刺す	さす	찌르다	
覚ます	さます	"깨다, 깨우다"	
冷ます	さます	식히다	
妨げる	さまたげる	방해하다	
覚める	さめる	"깨다, 눈이 뜨이다"	
冷める	さめる	식다	
去る	さる	"떠나다, 사라지다, 지나다"	
騒がす	さわがす	"소란을 피우다, 시끄럽게 하다"	
敷く	しく	"깔다, 설치하다"	
茂る	しげる	초목이 무성하다	
静まる	しずまる	"가라앉다, 안정되다"	
しぼむ		"시들다, 오므라들다"	
示す	しめす	"보이다, 나타내다, 가리키다"	
しゃがむ		"웅크리다, 쭈그리다"	
しゃぶる		입에 넣고 빨다	
記す	しるす	"적다, 기록하다"	
涼む	すずむ	바람을 쐬다	
済ませる	すませる	"마치다, 끝내다"	
澄む	すむ	"맑아지다, 말갛다"	
ずらす		비켜 놓다	
刷る	する	"인쇄하다, 찍다"	
ずれる		"어긋나다, 벗어나다"	
沿う	そう	따르다	
添う	そう	"꼭 붙어있다, 더해지다"	
注ぐ	そそぐ	"흘러 들어가다, 쏟아지다"	
そる		"깎다, 면도하다"	
それる		"빗나가다, 벗어나다"	
そろえる		"가지런히 하다, 갖추다"	
存じる・存ずる	ぞんじる・ぞんずる	알다・생각하다의 겸양어	
倒れる	たおれる	"쓰러지다, 넘어가다"	
耕す	たがやす	"경작하다, 일구다"	
抱く	だく	"안다, 껴안다"	
戦う	たたかう	"싸우다, 맞서다"	
叩く	たたく	"치다, 때리다, 두드리다"	
建つ	たつ	"세워지다, 서다"	
発つ	たつ	"출발하다, 떠나다"	
だます		속이다	
黙る	だまる	입을 다물다	
試す	ためす	"시험하다, 실제로 해보다"	
ためらう		"주저하다, 망설이다"	
足る	たる	"충분하다, 족하다"	
誓う	ちかう	"맹세하다, 서약하다"	
契る	ちぎる	"굳게 약속하다, 장래를 약속하다"	
縮れる	ちぢれる	"주름지다, 오그라들다"	
散らかる	ちらかる	"흩어지다, 어지러지다"	
散らす	ちらす	"흩뜨리다, 어지르다"	
散る	ちる	"떨어지다, 꽃잎이 지다"	
通じる	つうじる	"통하다, 정통하다, 내통하다"	
捕まる	つかまる	붙잡히다	
つかむ		"쥐다, 붙잡다"	
突く	つく	찌르다	
就く	つく	"자리에 오르다, 취임하다"	
注ぐ	つぐ	"쏟다, 붓다, 따르다"	
次ぐ	つぐ	"뒤를 잇다, 버금가다"	
尽くす	つくす	"다하다, 애쓰다"	
造る	つくる	"(건물・배) 만들다, 짓다"	
勤める	つとめる	"근무하다, 종사하다"	
つぶす		"(시간을) 때우다, 허비하다"	
つぶれる		"찌부러지다, 깨지다"	
詰める	つめる	"채우다, 막다, 좁히다"	
積もる	つもる	"쌓이다, 많이 모이다"	
強まる	つよまる	"강해지다, 세지다"	
強める	つよめる	"강하게 하다, 세게 하다"	
つる		매달다	
つるす		"달아매다, 매달다, 걸다"	
適する	てきする	"알맞다, 적당하다"	
照らす	てらす	(빛을) 비추다	
照る	てる	"빛나다, (날이) 개다"	
問う	とう	"묻다, 질문하다"	
通す	とおす	통과시키다	
溶かす	とかす	"녹이다, 풀다"	
尖る	とがる	"뾰족해지다, 예민해지다"	
解く	とく	(매듭・문제를) 풀다	
溶く	とく	"풀다, 개다, 녹이다"	
どく		"물러나다, 비키다"	
溶ける	とける	"녹다, 풀리다"	
解ける	とける	"풀리다, 끌러지다"	
どける		"치우다, 물리치다"	
閉じる	とじる	"닫다, 덮다, (눈을) 감다"	
とどまる		"머물다, 움직이지 않다"	
隣る	となる	"인접하다, 이웃하다"	
飛ばす	とばす	"날리다, 날게 하다"	
泊める	とめる	"묵게 하다, 숙박시키다"	
捕らえる	とらえる	"잡다, 붙잡다, 파악하다"	
採る	とる	"뽑다, 선택하다"	
捕る	とる	"잡다, 포획하다"	
流す	ながす	"흘리다, 흐르게 하다"	
眺める	ながめる	"바라보다, 전망하다"	
慰める	なぐさめる	"위로하다, 달래다"	
亡くす	なくす	"잃다, 여의다"	
殴る	なぐる	"세게 때리다, 세게 치다"	
成す	なす	"만들다, 이루다"	
なでる		"어루만지다, 쓰다듬다"	
怠ける	なまける	게으름 피우다	
鳴らす	ならす	"소리를 내다, 울리다"	
生る	なる	"(열매가) 열리다, 맺히다"	
煮える	にえる	"삶아지다, 익다"	
におう		"냄새가 나다, 향기가 나다"	
逃がす	にがす	"놓아주다, 놓치다"	
にらむ		"쏘아보다, 노려보다"	
煮る	にる	"삶다, 익히다"	
縫う	ぬう	"꿰매다, 바느질하다"	
抜く	ぬく	"빼다, 뽑다"	
濡らす	ぬらす	적시다	
寝かす・寝かせる	ねかす・ねかせる	"눕히다, 재우다"	
ねじる		"비틀다, 쥐어짜다"	
熱する	ねっする	"뜨거워지다, 뜨겁게 하다"	
狙う	ねらう	"겨누다, 노리다"	
のぞく		"엿보다, 들여다보다"	
望む	のぞむ	"바라다, 소망하다, 기대하다"	
伸ばす	のばす	"펴다, 늘리다"	
延ばす	のばす	"연장시키다, 연기하다"	
延びる	のびる	"길어지다, 연장되다"	
上る	のぼる	"오르다, 상경하다"	
昇る	のぼる	"(높은 지위에) 오르다, 하늘 높이 뜨다"	
這う	はう	기다	
生える	はえる	"(수염・초목 등) 나다, 자라다"	
はがす		"벗기다, 떼어내다"	
掃く	はく	"쓸다, 청소하다"	
吐く	はく	"토하다, 내뱉다"	
挟まる	はさまる	틈새에 끼이다	
挟む	はさむ	"끼우다, 사이에 두다"	
罰する	ばっする	"벌주다, 처벌하다"	
離す	はなす	"떼다, 거리를 두다"	
放す	はなす	"놓다, 풀어 놓다"	
放れる	はなれる	"놓이다, 풀리다"	
跳ねる	はねる	"뛰어 오르다, 튀다"	
はめる		"끼우다, 끼다, 채우다"	
早める	はやめる	"서두르다, 앞당기다"	
速める	はやめる	속도를 높이다	
流行る	はやる	"유행하다, 인기가 있다"	
はらむ		"임신하다, 품다, 내포하다"	
張る	はる	"뻗다, 부풀다, 붙이다, 바르다"	
ひねる		"돌리다, 꼬집다, 비틀다"	
響く	ひびく	(소리가) 울리다	
広げる	ひろげる	"펼치다, 넓히다"	
広める	ひろめる	"넓히다, 퍼뜨리다"	
殖える	ふえる	"늘다, 번식하다"	
深まる	ふかまる	깊어지다	
拭く	ふく	"닦다, 훔치다"	
膨らます	ふくらます	"부풀게 하다, 부풀리다"	
膨らむ	ふくらむ	"부풀어 오르다, 불룩해지다"	
更ける	ふける	"깊어지다, 이슥해지다"	
塞がる	ふさがる	"막히다, 차다"	
ふざける		"농하다, 까불다"	
防ぐ	ふせぐ	"막다, 방지하다"	
ぶつ		"때리다, 치다"	
殖やす	ふやす	(돈・재산을) 늘리다	
振る	ふる	흔들다	
震える	ふるえる	"흔들리다, 떨리다"	
凹む	へこむ	"움푹 패다, 꺼지다"	
減る	へる	"줄다, 닳다, (배가) 고프다"	
経る	へる	"지나다, 경유하다"	
ほうる		"집어 던지다, 내팽개치다"	
ほえる		(개・짐승 따위가) 짖다	
干す	ほす	말리다	
解く	ほどく	"풀다, 뜯다, 풀이하다"	
彫る	ほる	"(칼로) 새기다, 조각하다"	
任せる	まかせる	맡기다	
まく		"(씨를) 뿌리다, 파종하다"	
巻く	まく	"감다, 말다"	
混ざる・交ざる	まざる	섞이다	
混じる・交じる	まじる	섞이다	
交える	まじえる	"섞다, 합치다"	
混ぜる	まぜる	"넣어 섞다, 혼합하다"	
またぐ		"타 넘다, 건너다, 걸치다"	
祭る	まつる	"제사 지내다, 모시다"	
まとまる		"하나로 정리되다, 합쳐지다"	
まとめる		"하나로 정리하다, 합치다"	
丸める	まるめる	둥글게 하다	
回す	まわす	"돌리다, 회전시키다, 두르다"	
満たす	みたす	"채우다, 충족시키다"	
満ちる	みちる	가득 차다	
診る	みる	"보다, 진찰하다"	
向ける	むける	"향하다, 돌리다"	
蒸す	むす	"무덥다, 찌다"	
結ぶ	むすぶ	"묶다, 잇다, 관계를 맺다"	
命じる・命ずる	めいじる・めいずる	명하다	
恵む	めぐむ	"은혜를 베풀다, 인정을 베풀다"	
巡る	めぐる	"돌다, 순회하다, 둘러싸다"	
儲かる	もうかる	"벌이가 되다, 덕을 보다"	
儲ける	もうける	"벌다, 이익을 보다"	
燃える	もえる	(불)타다	
潜る	もぐる	"잠수하다, 숨어들다"	
もたれる		"기대다, 의지하다"	
用いる	もちいる	"사용하다, 채용하다"	
もむ		"비비다, 문지르다, 주무르다"	
燃やす	もやす	불태우다	
漏れる	もれる	"새다, 누설되다, 빠지다"	
盛る	もる	"쌓아 올리다, 담다"	
訳す	やくす	"번역하다, 해석하다"	
破く	やぶく	찢다	
破る	やぶる	"찢다, 깨다, (약속을) 어기다"	
ゆでる		"데치다, 삶다"	
許す	ゆるす	"허락하다, 용서하다"	
酔う	よう	"술에 취하다, 멀미하다"	
汚す	よごす	더럽히다	
止す	よす	"중지하다, 그만두다"	
寄せる	よせる	"밀려오다, 들르다, 가까이 하다"	
因る	よる	"기인하다, 원인이 되다"	
喜ばせる	よろこばせる	기쁘게 하다	
弱める	よわめる	약화시키다	
渡す	わたす	건네다	
割れる	われる	깨지다	
青白い	あおじろい	"파르스름하다, 창백하다"	
粗い	あらい	"성글다, 거칠다, 조잡하다"	
意地悪い	いじわるい	"심술궂다, 짓궂다"	
痛ましい	いたましい	"애처롭다, 가엾다"	
惜しい	おしい	"아깝다, 아쉽다"	
おそろしい		"두렵다, 무섭다"	
大人しい	おとなしい	"얌전하다, 점잖다"	
重苦しい	おもくるしい	"답답하다, 울적하다"	
重たい	おもたい	"무겁다, 묵직하다"	
硬い	かたい	"딱딱하다, 단단하다"	
堅い	かたい	"굳건하다, 견고하다, 확고하다"	
かゆい		가렵다	
清い	きよい	"맑다, 깨끗하다"	
くだらない		"하찮다, 시시하다"	
煙い	けむい	"(연기가) 맵다, 매캐하다"	
恋しい	こいしい	그립다	
騒がしい	さわがしい	"시끄럽다, 떠들썩하다"	
塩辛い	しおからい	짜다	
四角い	しかくい	"네모지다, 각지다"	
親しい	したしい	"친하다, 의좋다"	
ずうずうしい		뻔뻔스럽다	
すっぱい		"시다, 시큼하다"	
力強い	ちからづよい	"마음 든든하다, 힘차다"	
茶色い	ちゃいろい	갈색이다	
でかい		"크다, 방대하다"	
永い	ながい	"아주 오래다, 영원하다"	
憎らしい	にくらしい	"밉살스럽다, 얄밉다"	
眠たい	ねむたい	졸리다	
のろい		"느리다, 둔하다"	
ばからしい		"어리석다, 어이없다"	
甚だしい	はなはだしい	"아주 심하다, 대단하다"	
平たい	ひらたい	"평평하다, 넓적하다"	
真っ白い	まっしろい	새하얗다	
まぶしい		눈부시다	
みにくい		"추하다, 보기 흉하다"	
めでたい		"경사스럽다, 기쁘다"	
面倒臭い	めんどうくさい	"아주 귀찮다, 몹시 성가시다"	
申し訳ない	もうしわけない	변명의 여지가 없다	
もったいない		"아깝다, 과분하다"	
ものすごい		"굉장하다, 아주 무섭다"	
安っぽい	やすっぽい	"값싸다, 싸구려 같다"	
若々しい	わかわかしい	"어려 보이다, 생기발랄하다"	
当たり前な	あたりまえな	"당연한, 보통의"	
あやふやな		"불확실한, 애매한"	
新たな	あらたな	"새로운, 생생한"	
ありがちな		"흔한, 흔히 있는"	
意外な	いがいな	"뜻밖의, 의외의"	
円満な	えんまんな	원만한	
大柄な	おおがらな	"몸집이 큰, 모양이 큰"	
おおざっぱな		"대략적인, 조잡한"	
おしゃれな		"멋을 낸, 멋쟁이인"	
同じ	おなじ	"같은, 똑같은"	
温和な	おんわな	(날씨・성격이) 온화한	
快適な	かいてきな	쾌적한	
確実な	かくじつな	"확실한, 틀림없는"	
格別な	かくべつな	"각별한, 특별한"	
過激な	かげきな	과격한	
がらがらな		텅텅 비어 있는	
簡略な	かんりゃくな	간략한	
機敏な	きびんな	"기민한, 민첩한"	
逆	ぎゃく	"반대, 거꾸로"	
急激な	きゅうげきな	급격한	
急速な	きゅうそくな	아주 빠른	
強力な	きょうりょくな	강력한	
具体的な	ぐたいてきな	구체적인	
けちな		"인색한, 쩨쩨한"	
下品な	げひんな	품위가 없는	
謙虚な	けんきょな	겸허한	
懸命な	けんめいな	"열심인, 필사적인"	
高級な	こうきゅうな	고급스러운	
肯定的な	こうていてきな	긍정적인	
高等な	こうとうな	"고등, 수준이 높은"	
公平な	こうへいな	공평한	
困難な	こんなんな	곤란한	
逆さ・逆様	さかさ・さかさま	"거꾸로 됨, 반대로 됨"	
ささやかな		"자그마한, 사소한, 조촐한"	
さわやかな		"상쾌한, 시원한"	
しきりな		"빈번한, 계속되는"	
実用的な	じつようてきな	실용적인	
純粋な	じゅんすいな	순수한	
消極的な	しょうきょくてきな	소극적인	
詳細な	しょうさいな	상세한	
上等な	じょうとうな	"고급의, 훌륭한"	
新鮮な	しんせんな	"신선한, 새롭고 산뜻한"	
正確な	せいかくな	정확한	
正当な	せいとうな	정당한	
絶対的な	ぜったいてきな	절대적인	
絶好調な	ぜっこうちょうな	"아주 좋은, 더 없이 좋은"	
全国的な	ぜんこくてきな	전국적인	
鮮明な	せんめいな	선명한	
粗末な	そまつな	"허술한, 변변찮은"	
対等な	たいとうな	"대등한, 동등한"	
平らな	たいらな	"평평한, 평탄한"	
多難な	たなんな	다난한	
たまな		드문	
多様な	たような	다양한	
単調な	たんちょうな	단조로운	
知的な	ちてきな	지적인	
着実な	ちゃくじつな	착실한	
強気な	つよきな	"강경한, 적극적인"	
的確な・適確な	てきかくな	"적확한, 정확한"	
凸凹な	でこぼこな	"울퉁불퉁한, 불균형한"	
手ごろな	てごろな	"알맞은, 적당한"	
同一な	どういつな	"동일한, 같은"	
透明な	とうめいな	투명한	
特別な	とくべつな	특별한	
鈍感な	どんかんな	둔감한	
斜めな	ななめな	"경사진, 비스듬한"	
生意気な	なまいきな	"건방진, 주제 넘는"	
滑らかな	なめらかな	"매끄러운, 순조로운"	
軟弱な	なんじゃくな	"연약한, 무르고 약한"	
のんきな		"태평한, 느긋한"	
莫大な	ばくだいな	막대한	
皮肉な	ひにくな	"짓궂은, 얄궂은, 빈정거리는"	
不規則な	ふきそくな	불규칙한	
不潔な	ふけつな	"불결한, 더러운"	
無事な	ぶじな	"무사한, 평온한"	
不自由な	ふじゆうな	"자유롭지 못한, 불편한"	
不要な	ふような	불필요한	
不利な	ふりな	불리한	
不良な	ふりょうな	불량한	
平凡な	へいぼんな	평범한	
ぺこぺこ		배가 몹시 고픈	
膨大な	ぼうだいな	방대한	
ぼろぼろ		너덜너덜한	
本気な	ほんきな	"진심인, 진지한"	
みじめな		"비참한, 참혹한"	
無限な	むげんな	무한한	
無数な	むすうな	무수한	
無力な	むりょくな	무력한	
めちゃくちゃな		엉망진창인	
厄介な	やっかいな	"귀찮은, 성가신"	
勇敢な	ゆうかんな	용감한	
有能な	ゆうのうな	유능한	
悠々な	ゆうゆうな	"느긋한, 아득히 먼"	
緩やかな	ゆるやかな	"완만한, 느슨한, 느긋한"	
容易な	よういな	"용이한, 아주 쉬운"	
余計な	よけいな	"많은, 불필요한"	
弱気な	よわきな	"무기력한, 나약한"	
良好な	りょうこうな	양호한	
空き～	あき～	"속이 빔, 빈~"	空き缶[あきかん] 빈 깡통、空き部屋[あきべや] 빈 방
悪～	あく～	악~	悪循環[あくじゅんかん] 악순환、悪感情[あくかんじょう] 악감정、悪趣味[あくしゅみ] 악취미
あくる～		다음~	"あくる朝[あくるあさ] 이튿날 아침、あくる年[あくるとし] 이듬해, 다음 해、あくる日[あくるひ] 다음날, 이튿날"
ある～		"어떤~, 어느~"	ある人[あるひと] 어떤 사람、ある日[あるひ] 어떤 날、ある所[あるところ] 어느 곳
異～	い～	"이~, 다른~"	"異業種[いぎょうしゅ] 다른 업종、異民族[いみんぞく] 이민족、異国[いこく] 이국, 외국"
幾～	いく～	몇~	幾日[いくにち] 며칠、幾人[いくにん] 몇 명、幾千万[いくせんまん] 몇 천만
一～	いち～	"한~, 한 명의~, 일~"	"一音楽家[いちおんがくか] 한 음악가、一社会人[いちしゃかいじん] 한 사회인、一新聞記者[いちしんぶんきしゃ] 한 신문기자、一時[いちじ] 일시, 한 때、一種[いっしゅ] 일종、一案[いちあん] 일안, 하나의 제안"
薄～	うす～	"어쩐지~, 약간~"	薄汚い[うすぎたない] 지저분하다、薄ぼんやり[うすぼんやり] 희미함、薄気味悪い[うすきみわるい] 섬뜩하다
大～	おお～	"큰~, 많은~"	大急ぎ[おおいそぎ] 몹시 서두름、大騒ぎ[おおさわぎ] 큰 소동、大火事[おおかじ] 큰 화재
御～	おん～	[お]보다 존경・공손의 뜻이 강함	御礼[おんれい] 사례(의 말)、御身[おんみ] 옥체
各～	かく～	각~	各選手[かくせんしゅ] 각 선수、各家庭[かくかてい] 각 가정、各方面[かくほうめん] 각 방면
仮～	かり～	가~	仮契約[かりけいやく] 가계약、仮処分[かりしょぶん] 가처분、仮製本[かりせいほん] 가제본
逆～	ぎゃく～	역~	逆回転[ぎゃくかいてん] 역회전、逆効果[ぎゃくこうか] 역효과、逆差別[ぎゃくさべつ] 역차별
旧～	きゅう～	"구~, 옛~"	旧体制[きゅうたいせい] 구체제、旧植民地[きゅうしょくみんち] 옛 식민지、旧正月[きゅうしょうがつ] 음력설
急～	きゅう～	급~	急上昇[きゅうじょうしょう] 급상승、急カーブ[きゅうかーぶ] 급커브、急ブレーキ[きゅうぶれーき] 급제동
劇～	げき～	극~	劇作家[げきさっか] 극작가、劇映画[げきえいが] 극영화、劇台本[げきだいほん] 극 대본
現～	げん～	현~	現時点[げんじてん] 현 시점、現政府[げんせいふ] 현 정부、現住所[げんじゅうしょ] 현 주소
小～	こ～	"약간~, 다소~"	"小ぎれい[こぎれい] 말쑥함, 깔끔함、小汚い[こぎたない] 추레하다, 꾀죄죄하다"
高～	こう～	고~	高学歴[こうがくれき] 고학력、高気圧[こうきあつ] 고기압、高血圧[こうけつあつ] 고혈압
好～	こう～	호~	"好景気[こうけいき] 호경기, 호황、好都合[こうつごう] 형편・상황이 좋음、好条件[こうじょうけん] 좋은 조건"
今～	こん～	"금번~, 이번~"	"今大会[こんたいかい] 이번 대회、今シーズン[こんしーずん] 이번 시즌、今季[こんき] 지금 계절, 이번 시즌"
再～	さい～	재~	再発行[さいはっこう] 재발행、再検査[さいけんさ] 재검사、再評価[さいひょうか] 재평가
最～	さい～	"최~, 가장~"	"最高級[さいこうきゅう] 최고급、最後尾[さいこうび] 최후미, 맨 뒤、最新作[さいしんさく] 최신작"
昨～	さく～	지난~	作十五日[さくじゅうごにち] 지난 15일、昨シーズン[さくしーずん] 지난 시즌
試～	し～	시~	"試運転[しうんてん] 시운전, 시운행、試着[しちゃく] 시착, 입어봄、試飲[しいん] 시음"
主～	しゅ～	주~	主産地[しゅさんち] 주산지、主目的[しゅもくてき] 주목적、主電源[しゅでんげん] 주 전원
重～	じゅう～	중~	重労働[じゅうろうどう] 중노동、重工業[じゅうこうぎょう] 중공업、重金属[じゅうきんぞく] 중금속
純～	じゅん～	순~	純国産[じゅんこくさん] 순 국산、純収入[じゅんしゅうにゅう] 순수입、純文学[じゅんぶんがく] 순수 문학
準～	じゅん～	준~	準会員[じゅんかいいん] 준회원、準々決勝[じゅんじゅんけっしょう] 준준결승、準公務員[じゅんこうむいん] 준공무원
諸～	しょ～	"제~, 여러~"	諸条件[しょじょうけん] 여러 조건、諸事情[しょじじょう] 여러 사정、諸団体[しょだんたい] 여러 단체
初～	しょ～	"초~, 첫~"	"初対面[しょたいめん] 첫 대면, 첫 만남、初演[しょえん] 초연、初夏[しょか] 초여름"
助～	じょ～	조~	助教授[じょきょうじゅ] 조교수、助監督[じょかんとく] 조감독、助動詞[じょどうし] 조동사
小～	しょう～	소~	小資金[しょうしきん] 적은 자금、小都市[しょうとし] 소도시、小論文[しょうろんぶん] 소논문
上～	じょう～	좋은~	上成績[じょうせいせき] 좋은 성적、上きげん[じょうきげん] 매우 좋은 기분
新～	しん～	신~	新学期[しんがっき] 신학기、新商品[しんしょうひん] 신상품、新記録[しんきろく] 신기록
素～	す～	"맨~, 그저 ~함"	素通り[すどおり] 그대로 지나침 、素泊まり[すどまり] 잠만 자는 숙박、素顔[すがお] 맨 얼굴
前～	ぜん～	전~	前市長[ぜんしちょう] 전 시장、前近代的[ぜんきんだいてき] 전근대적、前年度[ぜんねんど] 전년도
全～	ぜん～	전~	全国民[ぜんこくみん] 전 국민、全学生[ぜんがくせい] 전체 학생、全八巻[ぜんはっかん] 전 8권
総～	そう～	총~	総選挙[そうせんきょ] 총선거、総収入[そうしゅうにゅう] 총수입、総決算[そうけっさん] 총결산
多～	た～	다~	多機能[たきのう] 다기능、多方面[たほうめん] 다방면、多目的[たもくてき] 다목적
対～	たい～	대~	対米輸出[たいべいゆしゅつ] 대미 수출、対欧州貿易[たいおうしゅうぼうえき] 대유럽 무역
大～	だい～	대~	大歓迎[だいかんげい] 대환영、大規模[だいきぼ] 대규모、大成功[だいせいこう] 대성공
短～	たん～	단~	短期間[たんきかん] 단기간、短距離[たんきょり] 단거리、短時間[たんじかん] 단시간
低～	てい～	저~	低姿勢[ていしせい] 저자세、低気圧[ていきあつ] 저기압、低成長[ていせいちょう] 저성장
同～	どう～	"동~, 같은~"	同時代[どうじだい] 동시대、同形式[どうけいしき] 같은 형식、同問題[どうもんだい] 같은 문제
生～	なま～	생~	生放送[なまほうそう] 생방송、生ビール[なまビール] 생맥주、生演奏[なまえんそう] 라이브 연주
反～	はん～	반~	反社会的[はんしゃかいてき] 반사회적、反政府[はんせいふ] 반정부、反体制[はんたいせい] 반체제
半～	はん～	반~	半永久的[はんえいきゅうてき] 반영구적、半そで[はんそで] 반소매、半自動[はんじどう] 반자동
非～	ひ～	비~	非常識[ひじょうしき] 몰상식함、非科学的[ひかがくてき] 비과학적、非公開[ひこうかい] 비공개
一～	ひと～	한~	一握り[ひとにぎり] 한 줌、一勝負[ひとしょうぶ] 한판 승부、一仕事[ひとしごと] 잠시 일함
不～	ふ～	"불~, 부~"	不規則[ふきそく] 불규칙함、不自由[ふじゆう] 불편함、不公平[ふこうへい] 불공평함
無～	ぶ～	"무~, ~하지 않음"	"無遠慮[ぶえんりょ] 사양하지 아니함、無愛想[ぶあいそう] 상냥치 못함、無作法[ぶさほう] 예의에 어긋남, 버릇없음"
副～	ふく～	부~	副委員長[ふくいいんちょう] 부위원장、副作用[ふくさよう] 부작용、副収入[ふくしゅうにゅう] 부수입
古～	ふる～	헌~	古本屋[ふるほんや] 헌책방、古新聞[ふるしんぶん] 헌 신문、古着[ふるぎ] 헌 옷
別～	べつ～	"별~, 다른~"	別問題[べつもんだい] 다른 문제、別世界[べっせかい] 별세계、別行動[べつこうどう] 다른 행동
本～	ほん～	"본~, 이~"	本製品[ほんせいひん] 본 제품、本建築[ほんけんちく] 본 건축、本事件[ほんじけん] 본 사건
真～	ま～	"참~, 진~, 바로~"	真正面[ましょうめん] 바로 정면、真上[まうえ] 바로 위、真っ赤[まっか] 새빨감
未～	み～	미~	未完成[みかんせい] 미완성、未公開[みこうかい] 미공개、未解決[みかいけつ] 미해결
明～	みょう～	다음~	明年[みょうねん] 내년、明朝[みょうちょう] 내일 아침、明春[みょうしゅん] 내년 봄
元～	もと～	전~	元首相[もとしゅしょう] 전 수상、元大統領[もとだいとうりょう] 전 대통령、元彼[もとかれ] 전 남자친구
要～	よう～	"요~, ~이 필요함"	要観察[ようかんさつ] 관찰이 필요함、要検討[ようけんとう] 검토가 필요함、要注意[ようちゅうい] 요주의
来～	らい～	다음~	来夏[らいか] 내년 여름、来年度[らいねんど] 내년도
両～	りょう～	"양~, 두~"	"両手[りょうて] 양손、両陣営[りょうじんえい] 양 진영, 두 진영、両極端[りょうきょくたん] 양극단"
和～	わ～	일본(식)의~	和菓子[わがし] 일본식 과자、和食[わしょく] 일식、和服[わふく] 일본 옷
我が～	わが～	우리~	我が校[わがこう] 우리 학교、我が社[わがしゃ] 우리 회사、我が家[わがや] 우리 집
～愛	～あい	~애	人類愛[じんるいあい] 인류애、同性愛[どうせいあい] 동성애、母性愛[ぼせいあい] 모성애
～明け	～あけ	~이 끝난 직후	休み明け[やすみあけ] 휴가 직후、梅雨明け[つゆあけ] 장마가 끝난 직후
～あたり		"~쯤, ~경"	来月あたり[らいげつあたり] 다음 달쯤、去年あたり[きょねんあたり] 작년쯤
～案	～あん	~안	改革案[かいかくあん] 개혁안、妥協案[だきょうあん] 타협안、予算案[よさんあん] 예산안
～一色	～いっしょく	~일색	反対派一色[はんたいはいっしょく] 반대파 일색、ワールドカップ一色[ワールドカップいっしょく] 월드컵 일색
～一	～いち	"~최고, ~제일"	日本一[にほんいち] 일본 제일、世界一[せかいいち] 세계 최고、全国一[ぜんこくいち] 전국 최고
～液	～えき	~액	消化液[しょうかえき] 소화액、水溶液[すいようえき] 수용액、不凍液[ふとうえき] 부동액
～園	～えん	~원	動物園[どうぶつえん] 동물원、植物園[しょくぶつえん] 식물원、幼稚園[ようちえん] 유치원
～おきに		"~걸러, ~간격으로"	一人おきに[ひとりおきに] 한 사람 걸러、一週間おきに[いっしゅうかんおきに] 일주일 간격으로、二メートルおきに 2미터 간격으로
～価	～か	~가	栄養価[えいようか] 영양가、販売価[はんばいか] 판매가、真価[しんか] 진가
～下	～か	~하	監督下[かんとくか] 감독하、支配下[しはいか] 지배하、管轄下[かんかつか] 관할하
～画	～が	~화	西洋画[せいようが] 서양화、東洋画[とうようが] 동양화、水彩画[すいさいが] 수채화
～界	～かい	~계	映画界[えいがかい] 영화계、芸能界[げいのうかい] 예능계、教育界[きょういくかい] 교육계
～街	～がい	~가	繫華街[はんかがい] 번화가、官庁街[かんちょうがい] 관청가、暗黒街[あんこくがい] 암흑가
～外	～がい	"~외, ~밖"	問題外[もんだいがい] 문제 밖、領域外[りょういきがい] 영역 외、予定外[よていがい] 예정 밖
～係	～がかり	"~계, ~담당"	会計係[かいけいがかり] 회계 담당、出納係[すいとうがかり] 출납계、接待係[せったいがかり] 접대 담당
～額	～がく	~액	限度額[げんどがく] 한도액、目標額[もくひょうがく] 목표액、差額[さがく] 차액
～掛け	～かけ	~하다 맒	やり掛け[やりかけ] 하다 맒、読み掛け[よみかけ] 읽다 맒、書き掛け[かきかけ] 쓰다 맒
