垢	あか	"때, 물때"	
身の上	みのうえ	"신상, 일신의 처지, 운명"	
見晴らし	みはらし	전망	
身振り	みぶり	몸짓	
無計画	むけいかく	무계획	
無条件	むじょうけん	무조건	
結び付き	むすびつき	"연결, 결합, 결속"	
無駄遣い	むだづかい	"낭비, 헛되이 씀"	
むら		얼룩	
目付き	めつき	"눈의 표정, 눈초리"	
めど		"목표, 전망"	
目盛り	めもり	(계량기의) 눈금	
もくろみ		"계획, 의도, 목적"	
持ち切り	もちきり	"그 상태나 화제가 계속됨, 자자함"	
やぶさか		인색함	
夕暮れ	ゆうぐれ	"황혼, 해질녘"	
夕焼け	ゆうやけ	저녁놀	
行き違い	ゆきちがい	"오해, 착오"	
ゆとり		여유	
容疑者	ようぎしゃ	용의자	
よしあし		"좋고 나쁨, 선악"	
よそみ		"한눈팖, 곁눈질"	
よだれ		"(흘리는) 침, 군침"	
夜更かし	よふかし	"밤 늦게까지 안 잠, 밤샘"	
夜更け	よふけ	"야밤, 심야"	
楽観的	らっかんてき	낙관적	
理性的	りせいてき	이성적	
臨機応変	りんきおうへん	임기응변	
倫理的	りんりてき	윤리적	
ろく		"사물의 상태가 정당함, 본격적임"	
渡り鳥	わたりどり	철새	
割り当て	わりあて	"할당, 배당"	
わんぱく		"장난꾸러기, 개구쟁이"	
仰ぐ	あおぐ	"쳐다보다, 우러러보다"	
赤らむ	あからむ	"붉어지다, 불그레해지다"	
商う	あきなう	장사하다	
飽きる	あきる	질리다	
欺く	あざむく	속이다	
あざわらう		"조소하다, 비웃다"	
あせる		바래다	
値する	あたいする	"~할 만하다, ~에 상당하다"	
あつらえる		"주문하다, 맞추다"	
暴く	あばく	"폭로하다, 파헤치다"	
甘える	あまえる	"응석부리다, 어리광부리다"	
余る	あまる	남다	
操る	あやつる	"조종하다, 다루다"	
あまりある		"남음이 있다, ~하는 데 충분하다"	
謝る	あやまる	사과하다	
荒らす	あらす	"망치다, 휩쓸다"	
争う	あらそう	다투다	
改まる	あらたまる	"새로워지다, 격식을 차리다"	
改める	あらためる	"고치다, 개선하다"	
著す	あらわす	저술하다	
合わす	あわす	합치다	
案じる・案ずる	あんじる・あんずる	"걱정하다, 염려하다"	
言い渡す	いいわたす	"(결정 · 명령 등) 알리다, 선고하다"	
生かす	いかす	살리다	
意気込む	いきごむ	"힘을 내다, 분발하다"	
生ける	いける	(꽃 등을) 꽃다	
炒める	いためる	"기름에 볶다, 지지다"	
痛める	いためる	"다치다, 손상하다"	
傷める	いためる	"망가뜨리다, 상하게 하다"	
慈しむ	いつくしむ	"불쌍히 여기다, 사랑하다"	
営む	いとなむ	"영위하다, 경영하다"	
否む	いなむ	"거절하다, 사절하다"	
いやす		(상처 · 병 따위를) 고치다	
いらだてる		"초조하게 하다, 애태우다"	
射る	いる	(활을) 쏘다	
浮かび上がる	うかびあがる	떠오르다	
受け入れる	うけいれる	받아들이다	
受け継ぐ	うけつぐ	"이어받다, 계승하다"	
受け止める	うけとめる	"받다, 받아들이다"	
薄まる	うすまる	엷어지다	
埋める	うずめる	"묻다, 매장하다"	
打ち切る	うちきる	"자르다, 중단하다"	
訴える	うったえる	"호소하다, 소송하다"	
疎んじる	うとんじる	"싫어하다, 멀리하다"	
潤む	うるむ	"(습기로) 부예지다, 울먹이다"	
植わる	うわる	심어지다	
演じる・演ずる	えんじる・えんずる	"① (무대에서) 연기하다 ② (어떤 역할을) 맡다, 완수하다"	
老いる	おいる	늙다	
負う	おう	"(힘)입다, 지다"	
侵す	おかす	"침범하다, 침해하다"	
冒す	おかす	무릅쓰다	
興る	おこる	"흥하다, 일어나다"	
抑える	おさえる	"억제하다, 막다"	
治まる	おさまる	"고요해지다, 가라앉다"	
納まる	おさまる	"걷히다, 들어오다"	
修める	おさめる	"닦다, 수양하다"	
押し切る	おしきる	"강행하다, 무릅쓰다"	
惜しむ	おしむ	"아끼다, 애석해하다"	
押し寄せる	おしよせる	"밀려 들다, 밀어 닥치다"	
推す	おす	"밀다, 추진시키다"	
恐れ入る	おそれいる	황송해하다	
おだてる		치켜세우다	
落ち合う	おちあう	"만나다, 합류하다"	
陥る	おちいる	"빠지다, 헤어나지 못하게 되다"	
おどす		"으르다, 위협하다"	
訪れる	おとずれる	"방문하다, (계절이) 찾아오다"	
衰える	おとろえる	"약해지다, 쇠퇴하다"	
驚く	おどろく	놀라다	
脅かす	おびやかす	"위협하다, 위태롭게 하다"	
赴く	おもむく	"향하여 가다, 즉시 향하다"	
折れる	おれる	"부러지다, 꺾이다"	
重んじる・重んずる	おもんじる・おもんずる	"중요시하다, 존중하다"	
下ろす	おろす	"내리다, (돈을) 찾다"	
害する	がいする	"해치다, 상하게 하다"	
回想する	かいそうする	회상하다	
顧みる	かえりみる	"돌아보다, 회고하다"	
省みる	かえりみる	"돌이켜보다, 반성하다"	
掲げる	かかげる	내걸다	
かき回す	かきまわす	휘젓다	
かく		(창피를) 당하다	
欠く	かく	"빠지다, 결여하다"	
駆けつける	かけつける	달려가다(오다)	
かける		"걸다, 내기를 하다"	
かさばる		부피가 커지다	
かさむ		부피가 커지다	
かすむ		"언개가 끼다, 희마하게 보이다"	
かする		스치다	
傾ける	かたむける	기울이다	
固める	かためる	"굳히다, 다지다"	
偏る	かたよる	치우치다	
奏でる	かなでる	연주하다	
適える	かなえる	① 들어맞추다 ② 충족시키다 ③ 성취시키다	
兼ねる	かねる	겸하다	
かばう		"감싸다, 비호하다"	
かぶれる		"(옻 등을) 차다, 피부염을 일으키다"	
構える	かまえる	"갖추다, 자세를 취하다"	
かまける		얽매이다	
かみ切る	かみきる	물어 끟다	
絡む	からむ	"얽히다, 얽매이다"	
枯れる	かれる	"(초목이) 마르다, 시들다"	
渇く	かわく	"목이 마르다, 물이 마르다"	
交わす	かわす	"주고받다, 교환하다"	
着飾る	きかざる	"몸치장을 하다, 성장하다"	
兆す	きざす	"싹트다, 징조가 보이다"	
利く	きく	"① 잘 움직이다, 기능을 발휘하다 ② 가능하다"	
きしみ合う	きしみあう	서로 다투다	
きしむ		삐걱거리다	
帰す・帰する	きす・きする	"돌아가다, ~에게 돌리다"	
期す・期する	きす・きする	기약하다	
築く	きずく	쌓다	
傷付く	きずつく	상처를 입다	
競う	きそう	다투다 경쟁하다	
来る	きたる	"오다, 다가오다"	
喫する	きっする	"마시다, 피우다, 당하다"	
興じる・興ずる	きょうじる・きょうずる	흥겨워하다	
切り出す	きりだす	말을 꺼내다	
極まる	きわまる	"극히 ~하다, ~하기 짝이 없다"	
禁じる	きんじる	금하다	
食い込む	くいこむ	"파고들다, 박히다"	
くぐる		① 빠져 나가다 ② 잠수하다	
崩す	くずす	무너뜨리다	
ぐずつく		① (하늘이) 끄무레하다 ② (아이가) 칭얼거리다	
崩れる	くずれる	무너지다	
くだす		① (지위) 낮추다 ② (명령) 내리다	
口ずさむ	くちずさむ	"읊조리다, 흥얼거리다"	
朽ち果てる	くちはてる	썩어 없어지다	
配る	くばる	나눠주다	
組み合わせる	くみあわせる	"짜맞추다, 편성하다"	
組み込む	くみこむ	"짜넣다, 편성하다"	
暮す	くらす	"살아가다, 지내다"	
繰り上げる	くりあげる	(예정보다) 앞당기다	
繰り下げる	くりさげる	뒤로 돌리다(물리다)	
企てる	くわだてる	"계획하다, 꾀하다"	
汚す	けがす	"더럽히다, (명예를) 훼손시키다"	
汚れる	けがれる	더러워지다	
蹴飛ばす	けとばす	"걷어 차다, 냅다 차다"	
煙る	けむる	"연기가 나다, 부예지다"	
心掛ける	こころがける	"항상 주의하다, 명심하다"	
試みる	こころみる	"시도해 보다, 시험해 보다"	
こす		"거르다, 여과하다"	
こだわる		"구애되다, 연연하다"	
こぼす		"① 흘리다 ② 불평하다, 푸념하다"	
こみあげる		치밀어 오르다	
込める	こめる	"넣다, 담다"	
こもる		"자욱하다, 가득 차다"	
凝らす	こらす	"(눈, 귀 등을) 한곳에 집중시키다"	
懲りる	こりる	"넌더리나다, 데다"	
凝る	こる	"① 엉기다, 응고하다 ② 열중하다"	
さえずる		(새가) 지저귀다	
さぐる		탐색하다	
裂ける	さける	"찢어지다, 갈라지다"	
避ける	さける	피하다	
支える	ささえる	"떠받치다, 지탱하다"	
捧げる	ささげる	바치다	
差し出す	さしだす	"내밀다, 제출하다, 발송하다"	
差し支える	さしつかえる	지장이 있다	
授ける	さずける	"수여하다, 하사하다"	
さする		문지르다	
定まる	さだまる	정해지다	
定める	さだめる	정하다	
悟る	さとる	깨닫다	
裁く	さばく	"시비를 가리다, 심판하다"	
さまよう		"방황하다, 헤매다"	
覚める	さめる	"깨다, 눈이 뜨이다"	
冷める	さめる	식다	
さらう		"채다, 채가다"	
仕上げる	しあげる	완성하다	
強いる	しいる	"강요하다, 강제하다"	
仕入れる	しいれる	"사들이다, 매입하다"	
しがみつく		"달라붙다, (꼭) 매달리다"	
敷く	しく	"깔다, 밑에 펴다"	
しける		습기가 차다	
沈む	しずむ	① 가라앉다 ② (해 · 달) 지다	
沈める	しずめる	"가라앉히다, 잠그다"	
親しむ	したしむ	친하게 지내다	
仕立てる	したてる	"만들다, 양성하다"	
しつける		예의 범절을 가르치다	
しなびる		시들다	
しのぐ		참고 견디다	
しぶる		"주저하다, 꺼리다"	
搾る	しぼる	짜(내)다	
仕向ける	しむける	① (어떤 태도로) 대하다 ② 발송하다	
称する	しょうする	칭하다	
しゃれる		"세련되다, 멋지다"	
据え付ける	すえつける	설치하다	
据える	すえる	"(물건을) 놓다, 설치하다"	
すく		(종이 · 김 따위를) 뜨다	
すくう		"떠내다, 뜨다, 물을 뜨다"	
すくむ		움츠러지다	
すくめる		움츠리다	
透ける	すける	"들여다 보이다, 비쳐 보이다"	
すすぐ		"① 씻다, 헹구다 ② 가시다, 양치질하다"	
薦める	すすめる	"추천하다, 천거하다"	
滑る	すべる	미끄러지다	
澄ます	すます	① 맑게 하다 ② (귀를) 기울이다	
擦る	する	"문지르다, 갈다"	
擦れる	すれる	스치다	
制する	せいする	"제지하다, 억제하다"	
切望する	せつぼうする	간절히 바라다	
狭める	せばめる	좁히다	
迫る	せまる	① (시각) 다가오다 ② (상태) 직면하다	
即する	そくする	입각하다	
損なう・損ねる	そこなう・そこねる	"① 파손하다 ② (건강 · 기분 등을) 상하게 하다, 해치다"	
唆す	そそのかす	"꼬드기다, 부추기다"	
そそる		"돋우다, 자아내다"	
備え付ける	そなえつける	"설치하다, 비치하다"	
そびえる		"우뚝 솟다, 치솟다"	
染まる	そまる	물들다	
背く	そむく	"등지다, 어기다, 거역하다"	
染める	そめる	"물들이다, 염색하다"	
そらす		(방향을) 딴 데로 돌리다	
反る	そる	"(활 모양으로) 휘다, 젖혀지다"	
耐える・堪える	たえる	"견디다, 참다"	
託す	たくす	"맡기다, 부탁하다"	
巧む	たくむ	"꾸미다, 기교를 부리다"	
たじろぐ		① 질리다 ② 주춤하다	
訪ねる	たずねる	방문하다	
漂う	ただよう	"떠돌다, 감돌다"	
立ち込める	たちこめる	(안개 · 연기 · 구름 등이) 자욱하게 끼다	
断つ	たつ	"끊다, 자르다"	
奉る	たてまつる	바치다	
たどり着く	たどりつく	겨우 다다르다	
束ねる	たばねる	"묶다, 한 뭉치로 하다"	
度重なる	たびかさなる	"거듭되다, 되풀이되다"	
たまう		"주시다, 내리시다"	
賜る	たまわる	"받다, 내려주시다"	
保つ	たもつ	유지하다	
絶やす	たやす	"① 끊어지게 하다 ② 끊다, 없애다"	
足る	たる	만족하다	
たるむ		"느슨해지다, 헤이해지다"	
垂れる	たれる	드리워지다	
違える	ちがえる	"① 달리하다 ② 틀리다, 어기다"	
縮まる	ちぢまる	"① 줄다, 감소하다 ② 움츠러들다"	
縮む	ちぢむ	"주름이 지다, 줄어들다"	
使いこなす	つかいこなす	"잘 다루다, 구사하다"	
つかえる		"막히다, 메다, 밀리다"	
仕える	つかえる	"시중들다, 섬기다"	
司る	つかさどる	"맡다, 담당하다"	
継ぐ	つぐ	"잇다, 계승하다"	
接ぐ	つぐ	접목하다	
償う	つぐなう	"갚다, 보상하다, 변상하다"	
付け加える	つけくわえる	"덧붙이다, 첨가하다"	
告げる	つげる	알리다	
伝う	つたう	(어떤 것을 따라서) 이동하다	
培う	つちかう	"가꾸다, 기르다, 배양하다"	
謹む	つつしむ	"황공해 하다, 경의를 표하다"	
慎む	つつしむ	"삼가다, 조심하다"	
つ(っ)つく		"쿡쿡 찌르다, 들추어 내다"	
突っ張る	つっぱる	"버티다, 떠받치다"	
勤まる	つとまる	"근무할 수 있다, 감당해 내다"	
務める	つとめる	"힘쓰다, 노력하다"	
つねる		꼬집다	
つぶる		(눈을) 감다	
つまむ		"집다, 집어 먹다"	
積む	つむ	"쌓다, 싣가"	
摘む	つむ	"뜯다, 따다"	
詰めかける	つめかける	"몰려들다, 밀려들다"	
連ねる	つらねる	① 늘어놓다 ② 동반하다	
連なる	つらなる	① 나란히 줄지어 있다 ② 참석하다	
手掛ける	てがける	손수 다루다	
出くわす	でくわす	(우연히) 만나다	
徹する	てっする	"철저하다, 투철하다"	
出直す	でなおす	다시 하다	
転じる・転ずる	てんじる・てんずる	전환하다	
投じる・投ずる	とうじる・とうずる	① 편승하다 ② 참여하다 ③ 항복하다 ④ 던지다	
動じる・動ずる	どうじる・どうずる	동요하다	
同じる・同ずる	どうじる・どうずる	동의하다	
尊ぶ・貴ぶ	とうとぶ	"숭상하다, 존경하다"	
遠ざかる	とおざかる	멀어지다	
遠ざける	とおざける	멀리하다	
とがめる		책망핟	
説く	とく	설득하다	
途切れる	とぎれる	"중단되다, 도중에 끊어지다"	
とじる		철하다	
途絶える	とだえる	"두절되다, 끊어지다"	
整う・調う	ととのう	"① 구비되다, 갖추어지다 ② 성립되다, 마련되다"	
整える・調える	ととのえる	"① 조정하다, 조절하다 ② 갖추다, 준비하다"	
届ける	とどける	① 보내어 주다 ② 신고하다	
とどめる		"① 멈추다, 세우다 ② 말리다 ③ 그치다, 한정시키다"	
唱える	となえる	"외치다, 주장하다, 제기하다"	
どなりこむ		"격한 소리로 항의하다, 큰 소리로 따지다"	
どなりつける		호통치다	
飛び上がる	とびあがる	"뛰어오르다, (놀람 · 기쁨으로) 펄쩍 뛰다"	
飛び歩く	とびあるく	뛰어다니다	
飛び交う	とびかう	어지럽게 날다	
飛び掛かる	とびかかる	"대들다, 덤벼들다"	
飛び越す	とびこす	"뛰어넘다, 앞지르다"	
飛び散る	とびちる	"사방에 흩날리다, 비상하다"	
飛び抜ける	とびぬける	"크게 차이나다, 뛰어나다"	
飛び離れる	とびはなれる	큰 차이가 나다	
とぼける		"얼빠지다, 시치미를 떼다"	
止まる	とまる	"멈추다, 그리다"	
富む	とむ	"재산이 많다, ~이 풍부하다"	
取り合わせる	とりあわせる	(적절히) 배합하다	
取り入る	とりいる	"환심사다, 아첨하다"	
取り押さえる	とりおさえる	"억누르다, 붙잡다"	
取り崩す	とりくずす	"헐다, 무너뜨리다"	
取り越す	とりこす	"앞당겨서 하다, 앞당기다"	
取り下げる	とりさげる	"취하하다, 철회하다"	
取り仕切る	とりしきる	혼자 도맡아 하다	
取り締まる	とりしまる	"다잡다, 단속하다"	
取り調べる	とりしらべる	"조사하다, 문초하다"	
取り揃える	とりそろえる	"골고루 갖추다, 한데 모으다"	
取り立てる	とりたてる	① 징수하다 ② 발탁하다	
取り付く	とりつく	① 매달리다 ② 착수하다	
取り付ける	とりつける	"달다, 장치하다"	
取りとめる	とりとめる	① 멈추다 ② 명확히 하다	
取り成す	とりなす	"잘 꾸리다, 수습하다"	
取り除く	とりのぞく	제거하다	
取り外す	とりはずす	"떼다, 빼다, 해체하다"	
取り巻く	とりまく	"둘러싸다, 에워싸다"	
取り混ぜる	とりまぜる	"한데 섞다, 뒤섞다"	
取り持つ	とりもつ	① 손에 쥐다 ② 주선하다	
取り寄せる	とりよせる	(주문해서) 가져오게 하다(시키다)	
とろける		녹다	
萎える	なえる	"힘이 풀리다, 쇠약해지다"	
なじる		"힐책하다, 따지다"	
なぞる		"(글씨 · 그림 위에) 덧쓰다, 본뜨다"	
なめる		① 핥다 ② (쓰라림을) 겪다 ③ 깔보다	
慣らす	ならす	길들이다	
似通う	にかよう	"서로 잘 닮다, 서로 비슷하다"	
似る	にる	닮다	
抜かす	ぬかす	바뜨리다	
ねじれる		"비뚤어지다, 꼬이다"	
ねたむ		"시기하다, 질투하다"	
ねだる		"조르다, 졸라대다"	
粘る	ねばる	① 잘 달라붙다 ② 끈덕지게 버티다	
粘り着く	ねばりつく	끈적끈적 달라붙다	
狙う	ねらう	노리다	
練る	ねる	"① 반죽하다 ② (계획 · 문장 등) 다듬다, 짜다"	
逃す	のがす	놓치다	
則る	のっとる	"따르다, 본받다"	
乗っ取る	のっとる	① 빼앗다 ② 납치하다	
ののしる		"욕을 퍼붓다, 매도하다"	
飲み込む	のみこむ	"① 삼키다 ② 이해하다, 납득하다 ③ 수용하다"	
載る	のる	"(신문, 잡지에) 실리다"	
計らう	はからう	"상의하다, 봐주다"	
図る	はかる	"꾀하다, 도모하다"	
謀る	はかる	"꾀하다, 꾸미다"	
諮る	はかる	"의견을 묻다, 상의하다"	
はぐ		① (껍질 등을) 벗기다 ② 박탈하다	
育む	はぐくむ	"기르다, 새끼를 품어 기르다"	
博す・博する	はくす・はくする	① (명성 등을) 떨치다 ② (이익을) 독차지하다	
はげる		① (칠 등이) 벗겨지다 ② (머리가) 벗어지다	
ばける		"둔갑하다, 가장하다"	
はじく		"튀기다, 튕겨 내다"	
恥じらう	はじらう	"부끄러워하다, 수줍어하다"	
恥じる	はじる	부끄러워하다	
走り抜ける	はしりぬける	① 빠져나가다 ② 끝까지 뛰다	
はたく		"치다, 때리다"	
発する	はっする	"① 발하다, 출발하다 ② 시작하다"	
果てる	はてる	끝나다	
跳ね上がる	はねあがる	"뛰어오르다, 날뛰다"	
跳ね返る	はねかえる	튀어서 되돌아오다	
はねつける		무정하게 거절하다	
はねる		받아서 나가떨어지게 하다	
はばかる		"꺼리다, 삼가다, 주저하다"	
はまる		"꼭 맞다, 채워지다"	
晴らす	はらす	(불쾌감 · 의심 등) 해소시키다	
ばらす		"분해하다, 해체하다"	
ばらまく		흩뿌리다	
張り裂ける	はりさける	(가슴이) 미어 터지다	
張り出す・貼り出す	はりだす	"게시하다, 내어 붙이다"	
はれる		붓다	
ばれる		"탄로나다, 발각되다, 들키다"	
秀でる	ひいでる	뛰어나다	
控える	ひかえる	① 삼가다 ② 앞두다	
引き上げる	ひきあげる	끌어올리다	
率いる	ひきいる	"거느리다, 인솔하다"	
引き起こす	ひきおこす	일으키다	
引き落とす	ひきおとす	① 자동이체하다 ② 감산하다	
引き下げる	ひきさげる	"내리다, 인하하다"	
引きずる	ひきずる	질질 끌다	
ひしめく		북적거리다	
引き取る	ひきとる	① 물러나다 ② 숨을 거두다 ③ 떠맡다	
ひずむ		"일그러지다, 비뚤어지다"	
ひそむ		숨다	
ひそめる		"찌푸리다, 찡그리다"	
浸す	ひたす	담그다	
引っ搔く	ひっかく	할퀴다	
冷やかす	ひやかす	① 놀리다 ② (살 생각도 없이) 물건을 보거나 값만 물어 보다	
ひらめく		(생각이) 번쩍 떠오르다	
広まる	ひるまる	"넓어지다, 번지다, 퍼지다"	
深める	ふかめる	깊게 하다	
膨れる	ふくれる	부풀다	
ふける		열중하다	
老ける	ふける	늙다	
踏まれる	ふまれる	입각하다	
踏み込む	ふみこむ	발을 들여 놓다	
震わせる	ふるわせる	"떨다, 떨게 하다"	
隔たる	へだたる	"(거리가) 떨어지다, 멀어지다"	
報じる・報ずる	ほうじる・ほうずる	① 보답하다 ② 보도하다	
葬る	ほうむる	매장하다	
放り込む	ほうりこむ	(아무렇게나) 넣다	
ぼける		"둔해지다, 흐려지다"	
誇る	ほこる	자랑하다	
ほころびる		"터지다, 풀리다"	
ぼやく		투덜거리다	
ぼやける		희미해지다	
滅ぼす	ほろぼす	멸망시키다	
舞う	まう	"춤추다, 흩날리다"	
負かす	まかす	"지게 하다, 이기다"	
任す	まかす	맡기다	
紛れる	まぎれる	"① 헷갈리다, (비슷해서) 분간 못하다 ② 틈타다"	
まく		뿌리다	
まごつく		"당황하다, 망설이다"	
勝る	まさる	"낫다, 뛰어나다"	
交わる	まじわる	① 교차하다 ② 뒤섞이다	
またがる		"걸치다, 올라타다"	
待ち望む	まちのぞむ	기다리고 기다리다	
まつわる		"달라붙다, 얽히다"	
まとう		"감다, (몸에) 걸치다, 입다"	
惑う	まどう	"갈팡거리다, 망설이다"	
惑わす	まどわす	"혼란시키다, 유혹하다"	
免れる	まぬかれる・まぬがれる	"모면하다, 벗어나다"	
見合わせる	みあわせる	"보류하다, 미루다"	
見入る	みいる	열심히 보다	
見落とす	みおどす	"간과하다, 빠뜨리다"	
磨く	みがく	"닦다, 연마하다"	
見せ付ける	みせつける	과시하다	
見せびらかす	みせびらかす	과시하다	
乱す	みだす	"어지럽히다, 흩트리다"	
見とれる	みとれる	넋을 잃고 보다	
みなす		간주하다	
見習う	みならう	"본받다, 견습하다"	
見抜く	みぬく	"간파하다, 꿰뚫어보다"	
見逃す	みのがす	"놓치다, 못 보다"	
見計らう	みはからう	"가늠보다, 적당히 고르다"	
見守る	みまもる	지켜보다	
診る	みる	진찰하다	
見渡す	みわたす	"멀리 바라다보다, 전망하다"	
報いる	むくいる	"보답하다, 갚다"	
貪る	むさぼる	탐하다	
むしる		"쥐어뜯다, 잡아뽑다, 떼어내다"	
結び付く	むすびつく	"결부되다, 이어지다"	
結び付ける	むすびつける	결합시키다	
群がる	むらがる	군집하다	
めくる		"넘기다, 젖히다"	
召す	めす	먹다 · 마시다 · 입다 등의 높임말	
免じる・免ずる	めんじる・めんずる	면제하다	
申し入れる	もうしいれる	"제의하다, 제기하다"	
申し出る	もうしでる	"자청하다, 신청하다"	
燃える	もえる	타다	
もがく		발버둥치다	
もたらす		"가져오다, 초래하다"	
もてあます		"힘에 겨워하다, 주체 못하다"	
戻す	もどす	되돌리다	
基づく	もとづく	"기초를 두다, 의거하다"	
もめる		"분규가 일어나다, 옥신각신하다"	
漏らす	もらす	"새게 하다, 누설하다"	
漏る	もる	(물 등이) 새다	
漏れる	もれる	"새다, 누설되다"	
安らぐ	やすらぐ	(마음이) 편안해지다	
破る	やぶる	"깨다, 어기다"	
病む	やむ	"병들다, 앓다"	
辞める	やめる	"그만두다, 사직하다"	
やり遂げる	やりとげる	"완수하다, 끝까지 해내다"	
やり通す	やりとおす	끝까지 하다	
和らぐ	やわらぐ	"누그러지다, (마음이) 풀리다"	
和らげる	やわらげる	완화시키다	
有する	ゆうする	"가지다, 소유하다"	
ゆがむ		"비뚤어지다, 일그러지다"	
ゆすぐ		"헹구다, (입을) 가시다"	
揺する	ゆする	흔들다	
委ねる	ゆだねる	"맡기다, 위임하다"	
揺る	ゆる	흔들다	
緩む	ゆるむ	"헐렁해지다, 누그러지다"	
緩める	ゆるめる	"늦추다, 완화하다"	
結わえる	ゆわえる	"매다, 묶다"	
要する	ようする	"요하다, 필요로 하다"	
よける		"피하다, 옆으로 비키다"	
寄せる	よせる	① 밀려오다 ② 바싹 대다	
装う	よおそう	① 치장하다 ② 가장하다	
よみがえる		되살아나다	
寄り掛かる	よりかかる	"기대다, 의존하다"	
あくどい		"악랄하다, 악착같다"	
あっけない		"어이없다, 싱겁다"	
あどけない		천진난만하다	
怪しい	あやしい	"수상하다, 괴상하다"	
荒っぽい	あらっぽい	"거칠다, 난폭하다"	
いじらしい		"애처롭다, 안쓰럽다"	
意地悪い	いじわるい	"심술궂다, 짓궂다"	
いたわしい		"가엾다, 애처롭다"	
著しい	いちじるしい	현저하다	
卑しい	いやしい	"천하다, 치사하다"	
疎い	うとい	"(사이가) 멀다, 소원하다"	
うるさい		① 시끄럽다 ② 까다롭다	
奥床しい	おくゆかしい	"은근하다, 그윽하다"	
おびただしい		(수 · 양이) 엄청나다	
重々しい	おもおもしい	엄숙하고 무게가 있다	
かいがいしい		바지런하다	
限りない	かぎりない	"무한하다, 한없다"	
かなわない		견딜 수 없다	
ぎこちない		"딱딱하다, 어색하다"	
厳しい	きびしい	엄격하다	
決まり悪い	きまりわるい	"쑥스럽다, 창피하다"	
極まりない	きわまりない	한이 없다	
くすぐったい		"간지럽다, 낯간지럽다"	
けがらわしい		"더럽다, 추잡스럽다"	
けばけばしい		"요란하다, 현란하다"	
心細い	こころぼそい	불안하다	
快い	こころよい	기분이 좋다	
好ましい	このましい	"마음에 들다, 호감이 가다"	
渋い	しぶい	떫다	
すがすがしい		상쾌하다	
せこい		"교활하다, 믿을 수 없다"	
せつない		애달프다	
そっけない		"무정하다, 쌀쌀맞다"	
耐えがたい	たえがたい	견딜 수 없다	
たくましい		늠름하다	
たどたどしい		"더듬거리다, 비틀거리다"	
たゆみない		"게으름 피우지 않다, 한결같다"	
手厚い	てあつい	"극진하다, 융숭하다"	
手荒い	てあらい	"난폭하다, 거칠다"	
手厳しい	てきびしい	매우 엄하다	
手ぬるい	てぬるい	미온적이다	
尊い・貴い	とうとい	"소중하다, 귀중하다"	
乏しい	とぼしい	"부족하다, 가난하다"	
情けない	なさけない	한심하다	
情け深い	なさけぶかい	인정이 많다	
何気ない	なにげない	아무렇지도 않다	
生臭い	なまぐさい	비린내가 나다	
悩ましい	なやましい	"괴롭다, 고통스럽다"	
粘り強い	ねばりづよい	끈기 있다	
はかない		"덧없다, 무상하다"	
甚だしい	はなはだしい	"심하다, 대단하다"	
ふさわしい		어울리다	
待ち遠しい	まちどおしい	몹시 기다려지다	
真ん丸い	まんまるい	아주 둥글다	
みすぼらしい		초라하다	
蒸し暑い	むしあつい	무덥다	
むつまじい		"사이가 좋다, 정답다"	
空しい	むなしい	"공허하다, 허무하다"	
目まぐるしい	めまぐるしい	어지럽다	
物々しい	ものものしい	어마어마하다	
もろい		"약하다, 여리다"	
余儀ない	よぎない	어쩔(하는) 수 없다	
欲深い	よくぶかい	욕심이 많다	
よそよそしい		서먹서먹하다	
わずらわしい		"귀찮다, 성가시다"	
哀切な	あいせつな	애절한	
浅はかな	あさはかな	"생각이 얕은, 어리석은"	
鮮やかな	あざやかな	"또렷한, 선명한"	
艶やかな	あでやかな	"아리따운, 요염한"	
あやふやな		"불확실한, 모호한"	
新たな	あらたな	새로운	
安穏な	あんのんな	안온한	
いい加減な	いいかげんな	"무책임한, 엉터리인"	
意外な	いがいな	의외인	
粋な	いきな	"멋진, 세련된"	
嫌味な	いやみな	"불쾌한, 아니꼬운"	
陰気な	いんきな	"음울한, 음침한"	
淫乱な	いんらんな	음란한	
鋭利な	えいりな	예리한	
円滑な	えんかつな	원활한	
婉曲な	えんきょくな	완곡한	
円満な	えんまんな	원만한	
旺盛な	おうせいな	왕성한	
おおまかな		"대범한, 대충하는"	
臆病な	おくびょうな	겁이 많은	
厳かな	おごそかな	엄숙한	
穏やかな	おだやかな	온화한	
温和な	おんわな	온화한	
果敢な	かかんな	과감한	
確実な	かくじつな	확실한	
過激な	かげきな	과격한	
苛酷な	かこくな	가혹한	
過酷な	かこくな	지나치게 가혹한	
過敏な	かびんな	과민한	
過密な	かみつな	"과밀한, 빽빽한"	
華麗な	かれいな	화려한	
簡潔な	かんけつな	간결한	
肝心な	かんじんな	"긴요한, 중요한"	
寛大な	かんだいな	관대한	
気軽な	きがるな	"소탈한, 선선한"	
気さくな	きさくな	싹싹한	
きちょうめんな		규칙적이고 꼼꼼한	
希薄な	きはくな	희박한	
きゃしゃな		갸냘픈	
窮屈な	きゅうくつな	"거북한, 답답한, 비좁은"	
強固な	きょうこな	"공고한, 강경한"	
狭小な	きょうしょうな	"협소한, 비좁은"	
強大な	きょうだいな	"강대한, 강력한"	
強烈な	きょうれつな	강렬한	
清らかな	きよらかな	"맑은, 깨끗한"	
きらびやかな		눈부시게 화려한	
